Card Name,Set,Set Code,Game,Region,Release Date,Rarities,Notes,Market Price (USD),Price Updated
Dark Magician,7-Eleven Japan 2023 Campaign,711C-JP001,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Buster Blader,7-Eleven Japan 2023 Campaign,711C-JP002,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Paladin,7-Eleven Japan 2023 Campaign,711C-JP003,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Marshmallon,7-Eleven Japan 2023 Campaign,711C-JP004,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Blue-Eyes White Dragon,7-Eleven Japan 2024 Campaign,711D-JP001,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
XYZ-Dragon Cannon,7-Eleven Japan 2024 Campaign,711D-JP002,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Red-Eyes Black Dragon,7-Eleven Japan 2024 Campaign,711D-JP003,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Time Wizard,7-Eleven Japan 2024 Campaign,711D-JP004,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Blue-Eyes White Dragon,Battles of Legend: Monster Mayhem,BLMM-EN001,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $12.77 | Starlight: $164.04,2026-09-26
Skull Servant,Battles of Legend: Monster Mayhem,BLMM-EN002,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $3.09 | Starlight: $42.62,2026-09-26
Elemental HERO Neos,Battles of Legend: Monster Mayhem,BLMM-EN003,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $3.12 | Starlight: $36.69,2026-09-26
Gearfried the Iron Knight,Battles of Legend: Monster Mayhem,BLMM-EN004,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.04 | Starlight: $13.71,2026-09-26
Gorz the Emissary of Darkness,Battles of Legend: Monster Mayhem,BLMM-EN005,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $4.22 | Starlight: $22.67,2026-09-26
Honest,Battles of Legend: Monster Mayhem,BLMM-EN006,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.44 | Starlight: $24.49,2026-09-26
Galaxy-Eyes Photon Dragon,Battles of Legend: Monster Mayhem,BLMM-EN007,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $2.17 | Starlight: $29.27,2026-09-26
Dark Paladin,Battles of Legend: Monster Mayhem,BLMM-EN008,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Same chibi as 711C promo with original background,Secret: $4.55 | Starlight: $41.28,2026-09-26
Junk Warrior,Battles of Legend: Monster Mayhem,BLMM-EN009,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.11 | Starlight: $16.14,2026-09-26
Ojama Trio,Battles of Legend: Monster Mayhem,BLMM-EN010,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.75 | Starlight: $21.41,2026-09-26
Exodia the Forbidden One,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB01,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Dark Magician,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB02,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Kuriboh,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB03,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Black Luster Soldier,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB04,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Buster Blader,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB05,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Blue-Eyes Ultimate Dragon,7-Eleven Japan 2025 Campaign,711E-JP001,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Magician Girl,7-Eleven Japan 2025 Campaign,711E-JP002,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi (pentagram chest jewel edit),n/a,
Kuriboh,7-Eleven Japan 2025 Campaign,711E-JP003,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Token (Stardust Dragon - Yusei),Legendary 5D's Decks,L5DD-ENS04,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Yusei box),Secret: $0.37,2026-09-26
Token (Black Rose Dragon - Akiza),Legendary 5D's Decks,L5DD-ENS05,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Akiza box),Secret: $0.46,2026-09-26
Token (Black-Winged Dragon - Crow),Legendary 5D's Decks,L5DD-ENS06,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Crow box),Secret: $0.33,2026-09-26
Gaia The Fierce Knight,Maze of Muertos,MZMU-EN058,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $2.25,2026-09-26
Elemental HERO Sparkman,Maze of Muertos,MZMU-EN059,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $2.18,2026-09-26
Time Wizard,Maze of Muertos,MZMU-EN060,TCG,Worldwide,2026-02-19,Secret Rare,Same chibi as 711D promo (thumbnail variant),Secret: $6.06,2026-09-26
Pumpking the King of Ghosts,Maze of Muertos,MZMU-EN061,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.59,2026-09-26
Des Koala,Maze of Muertos,MZMU-EN062,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.55,2026-09-26
Armed Dragon LV3,Maze of Muertos,MZMU-EN063,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.98,2026-09-26
Winged Kuriboh,Maze of Muertos,MZMU-EN064,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $4.68,2026-09-26
Armed Dragon LV10,Maze of Muertos,MZMU-EN065,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.97,2026-09-26
Archfiend Heiress,Maze of Muertos,MZMU-EN066,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.29,2026-09-26
Number 32: Shark Drake,Maze of Muertos,MZMU-EN067,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.81,2026-09-26
