Card Name,Set,Set Code,Game,Region,Release Date,Rarities,Notes,Market Price (USD),Price Updated
Dark Magician,7-Eleven Japan 2023 Campaign,711C-JP001,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Buster Blader,7-Eleven Japan 2023 Campaign,711C-JP002,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Paladin,7-Eleven Japan 2023 Campaign,711C-JP003,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Marshmallon,7-Eleven Japan 2023 Campaign,711C-JP004,OCG,Japan,2023-08-03,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Blue-Eyes White Dragon,7-Eleven Japan 2024 Campaign,711D-JP001,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
XYZ-Dragon Cannon,7-Eleven Japan 2024 Campaign,711D-JP002,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Red-Eyes Black Dragon,7-Eleven Japan 2024 Campaign,711D-JP003,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Time Wizard,7-Eleven Japan 2024 Campaign,711D-JP004,OCG,Japan,2024-08-08,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Blue-Eyes White Dragon,Battles of Legend: Monster Mayhem,BLMM-EN001,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $13.25 | Starlight: $166.21,2026-09-13
Skull Servant,Battles of Legend: Monster Mayhem,BLMM-EN002,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $3.54 | Starlight: $42.41,2026-09-13
Elemental HERO Neos,Battles of Legend: Monster Mayhem,BLMM-EN003,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $3.23 | Starlight: $36.57,2026-09-13
Gearfried the Iron Knight,Battles of Legend: Monster Mayhem,BLMM-EN004,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.17 | Starlight: $13.48,2026-09-13
Gorz the Emissary of Darkness,Battles of Legend: Monster Mayhem,BLMM-EN005,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $4.55 | Starlight: $22.44,2026-09-13
Honest,Battles of Legend: Monster Mayhem,BLMM-EN006,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.31 | Starlight: $23.13,2026-09-13
Galaxy-Eyes Photon Dragon,Battles of Legend: Monster Mayhem,BLMM-EN007,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $2.28 | Starlight: $28.69,2026-09-13
Dark Paladin,Battles of Legend: Monster Mayhem,BLMM-EN008,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Same chibi as 711C promo with original background,Secret: $5.34 | Starlight: $40.98,2026-09-13
Junk Warrior,Battles of Legend: Monster Mayhem,BLMM-EN009,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.06 | Starlight: $16.28,2026-09-13
Ojama Trio,Battles of Legend: Monster Mayhem,BLMM-EN010,TCG,Worldwide,2025-06-13,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $1.80 | Starlight: $18.58,2026-09-13
Exodia the Forbidden One,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB01,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Dark Magician,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB02,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Kuriboh,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB03,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Black Luster Soldier,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB04,OCG,Korea,2025-07-18,Ultra Rare,Duel Arena chibi; pop-up store stamp promo,n/a,
Buster Blader,The Hyundai Seoul Pop-Up Special Pack B,25HY-KRB05,OCG,Korea,2025-07-18,Ultra Rare,Chibi similar to 711C with original background,n/a,
Blue-Eyes Ultimate Dragon,7-Eleven Japan 2025 Campaign,711E-JP001,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Dark Magician Girl,7-Eleven Japan 2025 Campaign,711E-JP002,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi (pentagram chest jewel edit),n/a,
Kuriboh,7-Eleven Japan 2025 Campaign,711E-JP003,OCG,Japan,2025-08-07,Normal Parallel Rare,Duel Arena chibi; buy 3 Hi-Chew promo,n/a,
Token (Stardust Dragon - Yusei),Legendary 5D's Decks,L5DD-ENS04,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Yusei box),Secret: $0.38,2026-09-13
Token (Black Rose Dragon - Akiza),Legendary 5D's Decks,L5DD-ENS05,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Akiza box),Secret: $0.51,2026-09-13
Token (Black-Winged Dragon - Crow),Legendary 5D's Decks,L5DD-ENS06,TCG,Worldwide,2025-11-06,Secret Rare,Chibi token card (Crow box),Secret: $0.36,2026-09-13
Gaia The Fierce Knight,Maze of Muertos,MZMU-EN058,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $2.24,2026-09-13
Elemental HERO Sparkman,Maze of Muertos,MZMU-EN059,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $2.29,2026-09-13
Time Wizard,Maze of Muertos,MZMU-EN060,TCG,Worldwide,2026-02-19,Secret Rare,Same chibi as 711D promo (thumbnail variant),Secret: $5.71,2026-09-13
Pumpking the King of Ghosts,Maze of Muertos,MZMU-EN061,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.48,2026-09-13
Des Koala,Maze of Muertos,MZMU-EN062,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.40,2026-09-13
Armed Dragon LV3,Maze of Muertos,MZMU-EN063,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.99,2026-09-13
Winged Kuriboh,Maze of Muertos,MZMU-EN064,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $4.62,2026-09-13
Armed Dragon LV10,Maze of Muertos,MZMU-EN065,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.94,2026-09-13
Archfiend Heiress,Maze of Muertos,MZMU-EN066,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $1.28,2026-09-13
Number 32: Shark Drake,Maze of Muertos,MZMU-EN067,TCG,Worldwide,2026-02-19,Secret Rare,Duel Arena chibi,Secret: $0.72,2026-09-13
